bot_message,reply_1,reply_2,reply_3,reply_4,reply_5,topic1,topic2,topic3
Who is this?,It is my mom.,This is my mom.,This is Luca.,My sister.,My mom.,1,13,22
Where are you?,I am at school.,I am at the home.,I am home.,In the farm.,At the home.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks!,Thanks a lot!,Thank you!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Okay.,Yes.,Please.,7,11,22
Hello!,Hello!,Hi!,Hi there!,"Hello, Benny!","Hi, friend!",1,14,21
How are you?,I am good.,I am fine.,I am okay.,I am happy.,I am great!,2,15,21
What is your name?,I'm Noor.,My name is Noor.,I am Noor.,I am Zoe.,My name is Zoe.,3,11,22
Nice to meet you!,Nice to meet you!,You too!,Thank you!,Hi!,Nice to meet you too!,1,12,23
Say goodbye!,Bye-bye!,See you!,Goodbye!,Good night!,Bye!,1,14,21
What color is this?,Yellow.,It is green.,This is yellow.,It is yellow.,I see yellow.,3,10,14
What animal do you see?,It is a giraffe.,"Look, a giraffe!",I see a giraffe.,A fish.,A giraffe.,5,25,14
Do you like carrot?,I love carrot!,Yummy!,"Yes, I like carrot.","No, I don't like carrot.",Yes!,1,17,11
What do you want to play with?,I want the doll.,Let's play with the doll.,"The doll, please.","A teddy, please.",I like the doll.,3,10,14
How many do you see?,One toys.,I see one.,One.,Four.,There are one.,2,27,15
Who is this?,It is my mom.,This is Lila.,My mom.,This is my mom.,My sister.,1,13,22
Where are you?,I am at school.,I am at the home.,I am home.,At the home.,In the farm.,2,15,21
What can you do?,I can play.,I can jump.,I can run.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,"Thank you, friend!",Thanks!,Thank you very much!,Thank you!,2,15,17
"Can I have some juice, please?","Yes, please.",Please.,Okay.,Here you are.,Yes.,7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hi there!,Hello!,Hi!,1,12,23
How are you?,I am happy.,I am great!,I am okay.,I am fine.,I am good.,1,14,21
What is your name?,My name is Ken.,I am Ken.,I'm Ken.,Okay.,Okay.,2,15,21
Nice to meet you!,Thank you!,Nice to meet you!,You too!,Nice to meet you too!,Hi!,3,11,22
Say goodbye!,Bye!,Goodbye!,Bye-bye!,Good night!,See you!,1,12,23
What color is this?,It is green.,This is pink.,I see pink.,Pink.,It is pink.,3,10,14
What animal do you see?,"Look, a giraffe!",A fish.,It is a giraffe.,I see a giraffe.,A giraffe.,5,25,14
Do you like carrot?,I love carrot!,Yummy!,"Yes, I like carrot.","No, I don't like carrot.",Yes!,1,17,11
What do you want to play with?,I like the doll.,I want the doll.,"A teddy, please.",Let's play with the doll.,"The doll, please.",3,10,14
How many do you see?,One.,Four.,I see one.,One toys.,There are one.,2,27,15
Who is this?,My mom.,My sister.,It is my mom.,This is my mom.,This is Nico.,1,13,22
Where are you?,In the farm.,I am at the home.,At the home.,I am at school.,I am home.,2,15,21
What can you do?,I can eat.,I can jump.,I can run.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you!,"Thank you, friend!",Thanks a lot!,Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Please.,"Yes, please.",Okay.,Yes.,7,11,22
Hello!,Hi!,Hello!,"Hello, Benny!","Hi, friend!",Hi there!,3,11,22
How are you?,I am happy.,I am fine.,I am great!,I am good.,I am okay.,1,12,23
What is your name?,I am Lara.,I'm Lara.,My name is Yuki.,My name is Lara.,I am Yuki.,1,14,21
Nice to meet you!,Nice to meet you!,Hi!,You too!,Nice to meet you too!,Thank you!,2,15,21
Say goodbye!,Good night!,Goodbye!,See you!,Bye-bye!,Bye!,3,11,22
What color is this?,I see white.,It is green.,This is white.,It is white.,White.,3,10,14
What animal do you see?,I see a giraffe.,A giraffe.,"Look, a giraffe!",A fish.,It is a giraffe.,5,25,14
Do you like carrot?,Yummy!,I love carrot!,"Yes, I like carrot.","No, I don't like carrot.",Yes!,1,17,11
What do you want to play with?,"A teddy, please.","The doll, please.",I like the doll.,Let's play with the doll.,I want the doll.,3,10,14
How many do you see?,One toys.,I see one.,One.,There are one.,Four.,2,27,15
Who is this?,My mom.,It is my mom.,My sister.,This is Ana.,This is my mom.,1,13,22
Where are you?,I am at the home.,I am home.,I am at school.,At the home.,In the farm.,2,15,21
What can you do?,I can play.,I can jump.,I can eat.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks!,Thanks a lot!,Thank you!,Thank you very much!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,Here you are.,"Yes, please.",Yes.,Please.,7,11,22
Hello!,"Hi, friend!",Hi!,Hello!,Hi there!,"Hello, Benny!",2,15,21
How are you?,I am fine.,I am great!,I am happy.,I am okay.,I am good.,3,11,22
What is your name?,My name is Sam.,My name is Luca.,I'm Sam.,I am Luca.,I am Sam.,1,12,23
Nice to meet you!,You too!,Hi!,Nice to meet you too!,Nice to meet you!,Thank you!,1,14,21
Say goodbye!,Bye-bye!,Good night!,Goodbye!,See you!,Bye!,2,15,21
What color is this?,It is blue.,Blue.,It is green.,This is blue.,I see blue.,3,10,14
What animal do you see?,"Look, a zebra!",A zebra.,A fish.,It is a zebra.,I see a zebra.,5,25,14
Do you like carrot?,Yes!,Yummy!,"No, I don't like carrot.","Yes, I like carrot.",I love carrot!,1,17,11
What do you want to play with?,"A teddy, please.",Let's play with the doll.,I want the doll.,I like the doll.,"The doll, please.",3,10,14
How many do you see?,One toys.,Four.,I see one.,One.,There are one.,2,27,15
Who is this?,It is my mom.,My mom.,My sister.,This is Luca.,This is my mom.,1,13,22
Where are you?,In the farm.,I am at the home.,I am at school.,At the home.,I am home.,2,15,21
What can you do?,I can jump.,I can eat.,I can run.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thank you!,Thanks a lot!,"Thank you, friend!",Thanks!,2,15,17
"Can I have some juice, please?",Okay.,Please.,Here you are.,"Yes, please.",Yes.,7,11,22
Hello!,"Hi, friend!","Hello, Benny!",Hi!,Hello!,Hi there!,1,14,21
How are you?,I am happy.,I am okay.,I am fine.,I am good.,I am great!,2,15,21
What is your name?,My name is Eli.,I'm Noor.,My name is Noor.,I am Eli.,I am Noor.,3,11,22
Nice to meet you!,You too!,Hi!,Nice to meet you!,Thank you!,Nice to meet you too!,1,12,23
Say goodbye!,Bye-bye!,Bye!,Goodbye!,Good night!,See you!,1,14,21
What color is this?,This is purple.,I see purple.,It is green.,Purple.,It is purple.,3,10,14
What animal do you see?,I see a zebra.,"Look, a zebra!",A zebra.,A fish.,It is a zebra.,5,25,14
Do you like carrot?,Yes!,"No, I don't like carrot.",Yummy!,I love carrot!,"Yes, I like carrot.",1,17,11
What do you want to play with?,Let's play with the doll.,"A teddy, please.","The doll, please.",I want the doll.,I like the doll.,3,10,14
How many do you see?,One.,I see one.,Four.,There are one.,One toys.,2,27,15
Who is this?,It is my mom.,This is my mom.,My sister.,This is Lila.,My mom.,1,13,22
Where are you?,At the home.,I am at the home.,In the farm.,I am home.,I am at school.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thanks!,Thank you very much!,Thank you!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,Here you are.,Yes.,"Yes, please.",Please.,7,11,22
Hello!,Hello!,"Hi, friend!",Hi!,Hi there!,"Hello, Benny!",1,12,23
How are you?,I am great!,I am okay.,I am happy.,I am good.,I am fine.,1,14,21
What is your name?,I am Ana.,My name is Ana.,I am Ken.,My name is Ken.,I'm Ken.,2,15,21
Nice to meet you!,You too!,Nice to meet you too!,Thank you!,Hi!,Nice to meet you!,3,11,22
Say goodbye!,Bye!,Goodbye!,Bye-bye!,Good night!,See you!,1,12,23
What color is this?,It is black.,I see black.,This is black.,It is green.,Black.,3,10,14
What animal do you see?,It is a zebra.,I see a zebra.,A zebra.,"Look, a zebra!",A fish.,5,25,14
Do you like carrot?,I love carrot!,"No, I don't like carrot.",Yes!,"Yes, I like carrot.",Yummy!,1,17,11
What do you want to play with?,"A teddy, please.","The doll, please.",I like the doll.,I want the doll.,Let's play with the doll.,3,10,14
How many do you see?,One.,Four.,There are one.,I see one.,One toys.,2,27,15
Who is this?,My mom.,This is my mom.,My sister.,This is Nico.,It is my mom.,1,13,22
Where are you?,In the farm.,I am home.,At the home.,I am at school.,I am at the home.,2,15,21
What can you do?,I can eat.,I can jump.,I can run.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,"Thank you, friend!",Thank you very much!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?",Okay.,Yes.,Here you are.,"Yes, please.",Please.,7,11,22
Hello!,Hi!,Hello!,"Hello, Benny!","Hi, friend!",Hi there!,3,11,22
How are you?,I am okay.,I am great!,I am good.,I am happy.,I am fine.,1,12,23
What is your name?,I am Lara.,My name is Rui.,I am Rui.,I'm Lara.,My name is Lara.,1,14,21
Nice to meet you!,You too!,Thank you!,Hi!,Nice to meet you too!,Nice to meet you!,2,15,21
Say goodbye!,Bye!,Goodbye!,See you!,Bye-bye!,Good night!,3,11,22
What color is this?,I see red.,It is green.,This is red.,Red.,It is red.,3,10,14
What animal do you see?,"Look, a panda!",A panda.,I see a panda.,It is a panda.,A fish.,5,25,14
Do you like carrot?,"Yes, I like carrot.",Yes!,"No, I don't like carrot.",I love carrot!,Yummy!,1,17,11
What do you want to play with?,"The doll, please.",I want the doll.,I like the doll.,Let's play with the doll.,"A teddy, please.",3,10,14
How many do you see?,There are one.,One.,I see one.,Four.,One toys.,2,27,15
Who is this?,My sister.,My mom.,This is my mom.,This is Ana.,It is my mom.,1,13,22
Where are you?,In the farm.,At the home.,I am at school.,I am at the home.,I am home.,2,15,21
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thank you!,Thanks!,Thanks a lot!,"Thank you, friend!",Thank you very much!,2,15,17
"Can I have some juice, please?",Please.,Okay.,"Yes, please.",Yes.,Here you are.,7,11,22
Hello!,"Hi, friend!",Hello!,"Hello, Benny!",Hi there!,Hi!,2,15,21
How are you?,I am happy.,I am fine.,I am okay.,I am good.,I am great!,3,11,22
What is your name?,My name is Sam.,I am Sam.,I'm Sam.,My name is Hana.,I am Hana.,1,12,23
Nice to meet you!,Thank you!,Nice to meet you too!,Nice to meet you!,Hi!,You too!,1,14,21
Say goodbye!,Good night!,Bye-bye!,Bye!,Goodbye!,See you!,2,15,21
What color is this?,This is orange.,Orange.,I see orange.,It is orange.,It is green.,3,10,14
What animal do you see?,A panda.,"Look, a panda!",A fish.,It is a panda.,I see a panda.,5,25,14
Do you like carrot?,Yes!,"Yes, I like carrot.",Yummy!,I love carrot!,"No, I don't like carrot.",1,17,11
What do you want to play with?,Let's play with the doll.,I want the doll.,"A teddy, please.","The doll, please.",I like the doll.,3,10,14
How many do you see?,Four.,One.,There are one.,One toys.,I see one.,2,27,15
Who is this?,This is Luca.,My sister.,It is my mom.,This is my mom.,My mom.,1,13,22
Where are you?,I am at school.,In the farm.,I am at the home.,At the home.,I am home.,2,15,21
What can you do?,I can play.,I can eat.,I can jump.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks!,Thanks a lot!,"Thank you, friend!",Thank you very much!,Thank you!,2,15,17
"Can I have some juice, please?","Yes, please.",Yes.,Okay.,Here you are.,Please.,7,11,22
Hello!,Hi there!,"Hello, Benny!",Hi!,"Hi, friend!",Hello!,1,14,21
How are you?,I am okay.,I am good.,I am great!,I am fine.,I am happy.,2,15,21
What is your name?,I am Noor.,My name is Leo.,I'm Noor.,I am Leo.,My name is Noor.,3,11,22
Nice to meet you!,Nice to meet you too!,You too!,Nice to meet you!,Hi!,Thank you!,1,12,23
Say goodbye!,Bye!,Goodbye!,Good night!,Bye-bye!,See you!,1,14,21
What color is this?,It is brown.,Brown.,It is green.,I see brown.,This is brown.,3,10,14
What animal do you see?,A fish.,I see a panda.,"Look, a panda!",A panda.,It is a panda.,5,25,14
Do you like carrot?,Yes!,"Yes, I like carrot.",I love carrot!,Yummy!,"No, I don't like carrot.",1,17,11
What do you want to play with?,Let's play with the doll.,I like the doll.,"A teddy, please.","The doll, please.",I want the doll.,3,10,14
How many do you see?,Four.,I see one.,One toys.,One.,There are one.,2,27,15
Who is this?,This is Lila.,My sister.,My mom.,It is my mom.,This is my mom.,1,13,22
Where are you?,I am at school.,I am home.,At the home.,I am at the home.,In the farm.,2,15,21
What can you do?,I can eat.,I can jump.,I can run.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,Thanks a lot!,Thank you very much!,Thank you!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Okay.,Here you are.,Yes.,"Yes, please.",Please.,7,11,22
Hello!,Hello!,"Hi, friend!",Hi!,"Hello, Benny!",Hi there!,1,12,23
How are you?,I am okay.,I am great!,I am happy.,I am fine.,I am good.,1,14,21
What is your name?,I am Ken.,I'm Ken.,My name is Ken.,My name is Theo.,I am Theo.,2,15,21
Nice to meet you!,Nice to meet you too!,Nice to meet you!,Hi!,Thank you!,You too!,3,11,22
Say goodbye!,See you!,Bye!,Good night!,Goodbye!,Bye-bye!,1,12,23
What color is this?,Gold.,I see gold.,This is gold.,It is gold.,It is green.,3,10,14
What animal do you see?,"Look, a panda!",I see a panda.,It is a panda.,A fish.,A panda.,5,25,14
Do you like carrot?,Yes!,I love carrot!,"Yes, I like carrot.","No, I don't like carrot.",Yummy!,1,17,11
What do you want to play with?,Let's play with the doll.,"The doll, please.","A teddy, please.",I want the doll.,I like the doll.,3,10,14
How many do you see?,One toys.,One.,Four.,There are one.,I see one.,2,27,15
Who is this?,My sister.,It is my mom.,My mom.,This is Nico.,This is my mom.,1,13,22
Where are you?,In the farm.,At the home.,I am at school.,I am at the home.,I am home.,2,15,21
What can you do?,I can eat.,I can run.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,"Thank you, friend!",Thanks!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?",Okay.,"Yes, please.",Please.,Yes.,Here you are.,7,11,22
Hello!,Hi there!,Hello!,Hi!,"Hello, Benny!","Hi, friend!",3,11,22
How are you?,I am fine.,I am great!,I am happy.,I am okay.,I am good.,1,12,23
What is your name?,My name is Lara.,I am Lara.,I'm Lara.,Okay.,Okay.,1,14,21
Nice to meet you!,Hi!,You too!,Nice to meet you too!,Thank you!,Nice to meet you!,2,15,21
Say goodbye!,See you!,Goodbye!,Bye!,Good night!,Bye-bye!,3,11,22
What color is this?,I see green.,This is green.,It is green.,Green.,Okay.,3,10,14
What animal do you see?,"Look, a fox!",A fish.,I see a fox.,It is a fox.,A fox.,5,25,14
Do you like carrot?,I love carrot!,Yummy!,Yes!,"Yes, I like carrot.","No, I don't like carrot.",1,17,11
What do you want to play with?,I want the doll.,Let's play with the doll.,"The doll, please.","A teddy, please.",I like the doll.,3,10,14
How many do you see?,One toys.,One.,There are one.,Four.,I see one.,2,27,15
Who is this?,This is Ana.,My mom.,My sister.,It is my mom.,This is my mom.,1,13,22
Where are you?,I am at the home.,I am at school.,In the farm.,I am home.,At the home.,2,15,21
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks a lot!,Thank you!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Please.,Okay.,"Yes, please.",Here you are.,Yes.,7,11,22
Hello!,Hello!,"Hi, friend!",Hi!,Hi there!,"Hello, Benny!",2,15,21
How are you?,I am happy.,I am okay.,I am good.,I am fine.,I am great!,3,11,22
What is your name?,I am Mia.,I am Sam.,My name is Sam.,My name is Mia.,I'm Sam.,1,12,23
Nice to meet you!,Hi!,Thank you!,Nice to meet you too!,You too!,Nice to meet you!,1,14,21
Say goodbye!,Bye-bye!,See you!,Goodbye!,Good night!,Bye!,2,15,21
What color is this?,It is pink.,Pink.,It is green.,This is pink.,I see pink.,3,10,14
What animal do you see?,A fish.,It is a fox.,A fox.,"Look, a fox!",I see a fox.,5,25,14
Do you like carrot?,Yummy!,Yes!,I love carrot!,"Yes, I like carrot.","No, I don't like carrot.",1,17,11
What do you want to play with?,Let's play with the doll.,I like the doll.,"The doll, please.","A teddy, please.",I want the doll.,3,10,14
How many do you see?,One toys.,I see one.,Four.,There are one.,One.,2,27,15
Who is this?,This is my mom.,My sister.,My mom.,It is my mom.,This is Luca.,1,13,22
Where are you?,I am at school.,In the farm.,I am home.,I am at the home.,At the home.,2,15,21
What can you do?,I can run.,I can jump.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thank you!,Thanks!,"Thank you, friend!",Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,"Yes, please.",Yes.,Please.,Okay.,7,11,22
Hello!,Hi there!,Hi!,Hello!,"Hi, friend!","Hello, Benny!",1,14,21
How are you?,I am good.,I am happy.,I am fine.,I am okay.,I am great!,2,15,21
What is your name?,I am Noor.,My name is Noor.,I am Ken.,My name is Ken.,I'm Noor.,3,11,22
Nice to meet you!,Nice to meet you!,Hi!,Nice to meet you too!,Thank you!,You too!,1,12,23
Say goodbye!,Goodbye!,Bye-bye!,See you!,Good night!,Bye!,1,14,21
What color is this?,This is gray.,It is green.,Gray.,I see gray.,It is gray.,3,10,14
What animal do you see?,A fish.,A fox.,It is a fox.,I see a fox.,"Look, a fox!",5,25,14
Do you like carrot?,I love carrot!,Yummy!,"Yes, I like carrot.",Yes!,"No, I don't like carrot.",1,17,11
What do you want to play with?,I want the doll.,Let's play with the doll.,"The doll, please.",I like the doll.,"A teddy, please.",3,10,14
How many do you see?,Four.,One toys.,One.,There are one.,I see one.,2,27,15
Who is this?,This is my mom.,It is my mom.,My sister.,This is Lila.,My mom.,1,13,22
Where are you?,I am at school.,At the home.,In the farm.,I am at the home.,I am home.,2,15,21
What can you do?,I can play.,I can jump.,I can run.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you very much!,"Thank you, friend!",Thank you!,Thanks a lot!,2,15,17
